video_id,id,author_id,created_at,likert_scale_Q1,in_reply_to_user_id
166,18425,22283,2025-04-14,3,
166,37138,22283,2025-04-14,1,
166,57182,22283,2025-04-14,3,
166,55728,12842,2025-04-14,3,
166,33795,22283,2025-04-14,3,
166,59699,7843,2025-04-14,3,
166,62673,28055,2025-04-14,2,
166,52412,16492,2025-04-14,1,28055
166,16205,25273,2025-04-14,3,
166,3905,10709,2025-04-14,3,
166,1387,24045,2025-04-14,1,
166,49931,16580,2025-04-14,3,
166,19825,10535,2025-04-14,3,
166,24106,28091,2025-04-14,1,
166,17378,19721,2025-04-14,1,
166,57066,7843,2025-04-14,3,
166,4258,7843,2025-04-14,3,
166,27019,24357,2025-04-14,3,
166,45565,10535,2025-04-14,3,
166,45377,5735,2025-04-14,3,10535
166,33762,10535,2025-04-14,3,
166,11561,28091,2025-04-14,1,
166,58008,24430,2025-04-14,3,
166,65739,26209,2025-04-14,2,
166,13928,2804,2025-04-14,3,
166,41968,1603,2025-04-13,1,
166,47440,6086,2025-04-13,3,
166,43212,25440,2025-04-13,3,
166,42902,10740,2025-04-13,1,
166,21192,10535,2025-04-13,3,
166,15091,25440,2025-04-13,5,
166,57035,23764,2025-04-13,3,
166,20359,3905,2025-04-13,3,
166,38180,1644,2025-04-13,3,
166,55089,18507,2025-04-13,1,
166,9339,4704,2025-04-13,3,
166,37312,27182,2025-04-13,3,
166,68887,4545,2025-04-13,3,
166,64518,2146,2025-04-13,3,
166,38574,2940,2025-04-13,3,
166,34707,6877,2025-04-13,3,
166,33616,28595,2025-04-13,1,
166,39818,16180,2025-04-13,1,
166,38275,17807,2025-04-13,3,
166,16270,15565,2025-04-13,3,
166,785,15565,2025-04-13,3,
166,43582,15565,2025-04-13,3,
166,2383,6138,2025-04-13,3,
166,2530,2146,2025-04-13,3,
166,49472,16180,2025-04-13,3,
166,12005,4845,2025-04-13,3,
166,50109,2250,2025-04-13,3,
166,21739,24084,2025-04-13,3,
166,17494,2250,2025-04-13,3,
166,35646,24084,2025-04-13,1,
166,31246,2250,2025-04-13,3,
166,12701,27246,2025-04-13,3,
166,50626,10778,2025-04-13,1,
166,51339,243,2025-04-13,3,
166,17081,17559,2025-04-13,3,
166,17637,2940,2025-04-13,3,
166,10274,3333,2025-04-13,3,
166,7188,21204,2025-04-13,3,
166,62621,12649,2025-04-13,3,
166,43718,1681,2025-04-13,1,
166,2714,243,2025-04-13,1,
166,18693,243,2025-04-13,3,
166,34301,21357,2025-04-13,1,
166,67637,11028,2025-04-13,3,
166,57588,18153,2025-04-13,2,
166,5571,17799,2025-04-13,3,
166,59331,10553,2025-04-13,3,
166,70032,4991,2025-04-13,1,
166,3782,13617,2025-04-13,3,
166,29790,12575,2025-04-13,1,
166,71045,20460,2025-04-13,1,
166,19412,26960,2025-04-13,1,
166,30457,19,2025-04-13,3,
166,26967,4856,2025-04-13,3,
166,18018,13320,2025-04-13,2,
166,35919,24650,2025-04-13,2,
166,32155,23764,2025-04-13,1,
166,5203,18153,2025-04-13,4,
166,20079,19716,2025-04-13,3,
166,64220,12339,2025-04-13,1,
166,35130,17089,2025-04-13,3,
166,58195,13320,2025-04-13,1,
166,41783,21605,2025-04-13,3,
166,35371,25545,2025-04-13,3,
166,51624,11028,2025-04-13,4,
166,7671,27351,2025-04-13,3,
166,28211,16633,2025-04-13,3,
166,43189,16633,2025-04-13,3,
166,19758,17255,2025-04-13,3,
166,21084,12649,2025-04-13,3,
166,905,12575,2025-04-13,3,
166,319,3081,2025-04-13,3,
166,14090,3082,2025-04-13,1,
166,53940,2684,2025-04-13,3,
166,49328,2684,2025-04-13,3,
166,53368,2684,2025-04-13,3,
166,38736,7798,2025-04-13,3,
166,9290,12649,2025-04-13,3,
166,30768,16628,2025-04-13,3,
166,23227,27351,2025-04-13,3,
166,60500,26960,2025-04-13,3,
166,56170,4677,2025-04-13,3,
166,47583,10254,2025-04-13,3,
166,53874,16267,2025-04-13,1,
166,49367,19359,2025-04-13,3,
166,50435,12138,2025-04-13,3,
166,15283,21614,2025-04-13,5,
166,71138,12354,2025-04-13,3,
166,28980,1371,2025-04-13,1,
166,15322,4248,2025-04-13,3,
166,37335,22472,2025-04-13,3,
166,41660,21614,2025-04-13,2,
166,55206,26833,2025-04-13,3,
166,44967,8468,2025-04-13,3,
166,26534,26833,2025-04-13,3,
166,345,22472,2025-04-13,3,
166,41494,4677,2025-04-13,3,22472
166,28323,11652,2025-04-13,1,
166,53046,20302,2025-04-13,1,
166,40951,12575,2025-04-13,3,20302
166,61133,28241,2025-04-13,3,
166,52529,16385,2025-04-13,1,
166,61016,14920,2025-04-13,1,
88,14231,26764,2025-04-15,1,
88,63992,14205,2025-04-15,2,
88,14320,10730,2025-04-14,5,
88,62895,24944,2025-04-14,1,
88,50810,6677,2025-04-14,1,
88,19764,19529,2025-04-14,1,
88,27516,15736,2025-04-14,3,
88,58622,15736,2025-04-14,3,
88,24665,15736,2025-04-14,3,
88,59319,20017,2025-04-14,3,
88,55448,14413,2025-04-14,3,
88,68866,6875,2025-04-14,3,
88,34454,15704,2025-04-14,2,
88,45230,21957,2025-04-14,3,
88,53104,8603,2025-04-14,1,
88,18846,26523,2025-04-14,3,
88,53570,1494,2025-04-14,1,
88,26622,26627,2025-04-14,1,
88,8772,19307,2025-04-14,3,
88,32367,19307,2025-04-13,3,
88,6419,19307,2025-04-13,3,
88,24242,19307,2025-04-13,3,
88,13857,6875,2025-04-14,3,19307
88,70373,18814,2025-04-13,1,
88,49631,18814,2025-04-13,1,
88,63614,24377,2025-04-13,3,
88,66646,24377,2025-04-13,1,
88,50285,15736,2025-04-14,3,24377
88,8981,23348,2025-04-13,1,
88,5235,12132,2025-04-13,2,
88,10189,26173,2025-04-13,2,
88,40839,15625,2025-04-13,3,
88,3972,26764,2025-04-13,1,
88,23501,16324,2025-04-13,3,26764
88,70909,26764,2025-04-13,3,26764
88,959,1588,2025-04-14,1,26764
88,21343,21729,2025-04-15,3,26764
88,15634,15091,2025-04-13,3,
88,18022,18262,2025-04-13,3,
88,62683,18262,2025-04-13,1,
88,52818,15625,2025-04-13,3,18262
88,46511,15736,2025-04-14,3,18262
88,10783,18262,2025-04-13,1,
167,69455,25869,2025-04-14,3,
167,57110,13604,2025-04-14,3,
167,21791,6495,2025-04-14,3,
167,23638,21529,2025-04-14,3,
167,39617,14013,2025-04-14,1,
167,24866,14013,2025-04-14,1,
167,47200,21335,2025-04-14,3,
167,1276,11666,2025-04-14,1,
167,48228,10627,2025-04-13,1,
167,51963,16261,2025-04-13,3,
167,9735,2980,2025-04-13,1,
167,69060,2127,2025-04-13,1,
167,23733,2127,2025-04-13,1,
167,20817,17181,2025-04-13,3,
167,31667,17181,2025-04-13,1,
167,20745,2980,2025-04-13,1,
167,39263,28156,2025-04-13,1,
167,64576,28156,2025-04-13,1,
167,14595,28156,2025-04-13,1,
167,58139,5885,2025-04-13,3,
167,3036,17181,2025-04-13,1,
167,49081,5735,2025-04-13,1,17181
